Title,Type,Link,more
吴明涛《白雪》音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/6,22",
《德龄与慈禧》何冀平携手卢燕×江珊×濮存昕×黄慧慈×郑云龙,人物,"https://m.polyt.cn/activity/cloudTheater/detail/7,31",黄金班底 打造经典大戏
京剧《三寸金莲》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/4,51",
琉森音乐节管弦乐团演奏马勒第一交响曲及王羽佳合作普罗科菲耶夫第三协奏曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/20,13",
王羽佳带来勃拉姆斯和斯特拉文斯基的经典作品,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/9,21",2009韦尔比耶音乐节钢琴家王羽佳经典演奏
加拿大国家艺术中心用芭蕾再现维瓦尔第的《四季》 ,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/12,12",祖克曼带来芭蕾舞版维瓦尔第的《四季》
安东尼奥·帕帕诺与萨克森德雷斯顿国立乐团演奏“拉二”,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/13,22",萨克森德雷斯顿国立乐团演绎本地创作的音乐
BBC交响乐团与科林·戴维斯合作贝多芬第三交响曲《英雄》,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/21,12",
2011韦尔比耶音乐节系列——韦尔比耶的勃拉姆斯,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/8,21",感受艺术家在韦尔比耶精彩演绎的勃拉姆斯。
从另一个视角看歌剧《弄臣》,人物,"https://m.polyt.cn/activity/cloudTheater/detail/4,33",
弗兰克·彼得·齐默尔曼：巴赫奏鸣曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/12,21",齐默尔曼与佩斯合作呈现巴赫奏鸣曲
纪录片：柴可夫斯基的故事——作曲家的独白 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/10,31",不同侧面为你呈现一个不同的柴可夫斯基
京剧《四郎探母》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/5,52",
歌剧《曼侬·莱斯戈》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/18,12",
同舟共济，共抗疫情——沈阳话剧团诗朗诵《逆行者之歌》,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/6,41",
大型古装湖北花鼓戏《情缘》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/4,54",
陈佩斯访谈《戏台内外》,人物,"https://m.polyt.cn/activity/cloudTheater/detail/3,31",
韦尔比耶音乐节巡礼-诺赛达指挥威尔第《安魂曲》,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/19,11",
吕剧《社区书记》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/8,52",一个将老旧社区建设成温暖幸福港湾的故事。
捷克爱乐-茉莉花/The Czech Philharmonic Orchestra - Jasmine Flower,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/42,
歌剧《阿尔辛娜》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/17,11",
怎样“看”懂那些你看不懂的舞,人物,"https://m.polyt.cn/activity/cloudTheater/detail/5,33",
大型交响音乐诗画 《长江》,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/23,
央华戏剧《新原野》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/12,生命是一条河流，愿你终将获得自由
芭蕾舞剧《胡桃夹子》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/7,11",最优秀的芭蕾舞剧之一，被誉为“圣诞芭蕾”
《中芭建团60周年系列展演回顾》,直播展映,"https://m.polyt.cn/activity/cloudTheater/detail/16,11",
芭蕾舞大师玛雅·普丽赛茨卡娅《女神之舞》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/15,11",
京剧《水上灯》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/3,51",
光束在现场|赖声川携胡歌\许晴\金士杰等众主创开启《如梦之梦》十年之约,人物,"https://m.polyt.cn/activity/cloudTheater/detail/5,31",
纪录片：意大利人的音乐性格 ——有关意大利著名管弦乐团的故事 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/13,31",从圣切契利亚管弦乐团了解意大利人音乐性格
维塔斯演唱会《回家》,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/22,
京剧电影版《赵氏孤儿》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/9,51",一个关于牺牲和复仇的故事
“里约之声”——巴西巴巴图克斯身体打击人声乐团,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/4,22",
音乐剧《白夜行》：只希望能手牵手在太阳下散步 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/7,32",太阳与人心不可直视
现代吕剧《西海地下医院》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/7,52",西海村山花一家舍命保护西海地下医院的故事
《花开有时》保利·文艺战疫主题曲,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/2,41",
古巴哈瓦那现代舞团演绎激情奔放的现代舞,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/15,12",
阿格里奇和她的朋友们系列——圣切契利亚管弦乐团,人物,"https://m.polyt.cn/activity/cloudTheater/detail/13,32",罗马圣切契利亚管弦乐团鼎力相助
法兰克福广播交响乐团音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/8,22",2020.3.2020.3.12法兰克福黑森广播大厅为您奏响。
天津人艺津味话剧《婢女春红》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/4,13",
