"Title","ID","Owner","Created Date","Updated Date","Type","Link","more"
"吴明涛《白雪》音乐会","01197078-726d-4615-8aee-db9d9e933654","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/6,22",
"《德龄与慈禧》何冀平携手卢燕×江珊×濮存昕×黄慧慈×郑云龙","016dafbf-6be5-4b15-aa14-a29b29649984","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/7,31","黄金班底 打造经典大戏"
"京剧《三寸金莲》","01c1c6c4-debe-4fe6-b18a-e5527cda8f32","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/4,51",
"琉森音乐节管弦乐团演奏马勒第一交响曲及王羽佳合作普罗科菲耶夫第三协奏曲","01d34c56-2e3b-47c7-9841-7e43207c4ac6","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/20,13",
"王羽佳带来勃拉姆斯和斯特拉文斯基的经典作品","0216ac5d-3f69-4816-936e-414317368221","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/9,21","2009韦尔比耶音乐节钢琴家王羽佳经典演奏"
"加拿大国家艺术中心用芭蕾再现维瓦尔第的《四季》 ","02ff8c9d-b260-4177-99b8-8d1458bd466c","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/12,12","祖克曼带来芭蕾舞版维瓦尔第的《四季》"
"安东尼奥·帕帕诺与萨克森德雷斯顿国立乐团演奏“拉二”","03ad114f-dfc5-4ffa-b8e4-ffb311affd5d","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/13,22","萨克森德雷斯顿国立乐团演绎本地创作的音乐"
"BBC交响乐团与科林·戴维斯合作贝多芬第三交响曲《英雄》","053f7fce-b98c-4b92-a27f-b6bbd2a9e2dc","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/21,12",
"2011韦尔比耶音乐节系列——韦尔比耶的勃拉姆斯","0573a35d-957e-4ecc-9bc5-afe50ca4f984","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/8,21","感受艺术家在韦尔比耶精彩演绎的勃拉姆斯。"
"从另一个视角看歌剧《弄臣》","05837bfe-4de5-4409-8b54-b588f8c810dd","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/4,33",
